customer_id,customer_name,store_id,product_id,ai_model_type,ai_model_id,ai_run_ts,sales_run_ts,ai_mae,sales_mae,ai_mape,sales_mape,ai_r2,sales_r2,ai_rmse,sales_rmse,ai_within_2,sales_within_2
4,Rays,94,17092,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2354,,0.7700,,-0.9622,,0.2600,,1.0000,
4,Rays,94,17097,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4982,,0.5494,,-0.1525,,0.5390,,1.0000,
4,Rays,94,17098,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4729,,0.4142,,0.2142,,0.5252,,1.0000,
4,Rays,94,17099,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.5711,,0.3679,,-0.1843,,0.6538,,1.0000,
4,Rays,94,17100,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4282,,0.7090,,-2.6131,,0.4567,,1.0000,
4,Rays,94,17104,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:03:40.702369+00,0.8500,1.3665,0.3522,0.7835,-0.5018,-0.3235,0.9455,2.1135,1.0000,1.0000
4,Rays,94,17108,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2025-11-01 01:14:57.252344+00,0.5239,0.7437,0.4714,0.3865,0.0721,-0.2319,0.5788,1.1104,1.0000,1.0000
4,Rays,94,17110,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-08 12:14:39.01074+00,1.5250,1.3298,0.5229,0.4831,-0.0628,-0.9878,1.6537,1.6841,1.0000,1.0000
4,Rays,94,17113,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-04-29 11:57:40.434341+00,1.1818,1.3082,0.3003,0.6928,0.0248,-0.6145,1.3059,1.6612,1.0000,1.0000
4,Rays,94,17117,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-25 12:16:35.251437+00,0.9643,1.7744,0.6857,0.5916,-0.6287,-1.0192,1.0631,2.1799,1.0000,1.0000
4,Rays,94,17129,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-08 11:10:51.793043+00,1.0682,0.8370,0.3747,0.4555,-0.3155,-0.0223,1.2499,1.1537,1.0000,1.0000
4,Rays,94,17145,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-30 08:47:08.888255+00,3.2107,5.2785,0.8823,0.6898,0.3682,-0.1088,3.6404,7.5237,1.0000,1.0000
4,Rays,94,17146,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-09 11:43:46.578615+00,17.4425,8.6679,0.8804,0.6997,0.0903,0.1832,21.0498,11.0319,0.7857,0.9344
4,Rays,94,17166,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-09 11:43:46.367431+00,6.0718,7.6212,0.5090,1.3564,0.2915,-0.7745,7.8231,10.1133,0.8571,0.7333
4,Rays,94,17176,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-05 08:34:04.094207+00,2.6643,3.4461,0.4951,0.6740,-0.2311,-0.3395,3.4161,4.3706,1.0000,1.0000
4,Rays,94,17192,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-08 12:16:25.047437+00,1.7864,5.3152,0.3364,1.8876,-0.4507,-5.1487,2.2302,6.5232,1.0000,1.0000
4,Rays,94,17198,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-07 11:03:52.113042+00,3.4346,5.1205,0.2276,0.3170,-0.3120,-0.4118,4.6788,6.5235,1.0000,1.0000
4,Rays,94,17199,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-09 08:21:52.290456+00,2.5443,2.4719,0.6033,1.0838,-4.7983,-1.3086,3.3396,3.0803,1.0000,1.0000
4,Rays,94,17200,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-04-26 11:36:17.468793+00,1.6371,1.5781,0.5796,0.7382,-0.0307,-0.6896,1.9444,2.0280,1.0000,1.0000
4,Rays,94,17201,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-04-28 12:32:51.271073+00,1.3679,1.5507,0.5993,0.8981,-0.8681,-0.5971,1.5704,2.0007,1.0000,1.0000
4,Rays,94,17209,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-08 15:04:10.981214+00,5.0721,1.3686,0.7451,0.9443,-1.9033,-3.1423,5.8761,2.2894,1.0000,1.0000
4,Rays,94,17245,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4807,,0.7333,,-0.1765,,0.6517,,1.0000,
4,Rays,94,17247,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.7286,,0.4762,,0.2511,,1.0357,,1.0000,
4,Rays,94,17260,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-08 11:16:58.276563+00,1.9164,3.2953,0.7059,1.7637,-0.0350,-2.2528,2.1957,4.0547,0.6071,0.3667
4,Rays,94,17278,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2025-08-19 13:44:12.176271+00,0.9632,1.9326,0.4386,0.6590,0.2341,-0.4638,1.2008,2.4841,1.0000,1.0000
4,Rays,94,17319,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1793,,0.8900,,-0.5431,,0.2305,,1.0000,
4,Rays,94,17320,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3843,,0.5100,,-3.4010,,0.3893,,1.0000,
4,Rays,94,17322,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3793,,0.7100,,-1.4713,,0.4049,,1.0000,
4,Rays,94,17323,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3714,,0.7440,,0.0931,,0.6036,,1.0000,
4,Rays,94,17324,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1596,,0.8800,,-0.3814,,0.2181,,1.0000,
4,Rays,94,17325,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2775,,0.7733,,-0.1535,,0.3322,,1.0000,
4,Rays,94,17326,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2111,,0.8550,,-0.1783,,0.2796,,1.0000,
4,Rays,94,17327,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3100,,0.8117,,-0.0210,,0.4449,,1.0000,
4,Rays,94,17329,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3046,,0.6917,,0.1793,,0.3717,,1.0000,
4,Rays,94,17331,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1875,,0.8600,,-1.1410,,0.2715,,1.0000,
4,Rays,94,17333,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3671,,0.6467,,-0.8295,,0.4183,,1.0000,
4,Rays,94,17334,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2568,,0.8333,,-0.1169,,0.3269,,1.0000,
4,Rays,94,17351,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3229,,0.8310,,0.0270,,0.4830,,1.0000,
4,Rays,94,17353,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1868,,0.9000,,-0.1332,,0.2742,,1.0000,
4,Rays,94,17356,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,,,,,,,,,,
4,Rays,94,17357,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2979,,0.7450,,0.0961,,0.4440,,1.0000,
4,Rays,94,17361,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1871,,,,,,0.2236,,1.0000,
4,Rays,94,17366,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1900,,0.7800,,-0.0609,,0.2653,,1.0000,
4,Rays,94,17367,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2854,,0.7700,,-1.6676,,0.3031,,1.0000,
4,Rays,94,17374,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3182,,0.7833,,-0.3909,,0.3648,,1.0000,
4,Rays,94,17376,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2175,,0.8900,,-0.9427,,0.2587,,1.0000,
4,Rays,94,17377,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3064,,0.8525,,-0.1232,,0.4332,,1.0000,
4,Rays,94,17379,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3546,,0.7800,,-0.0315,,0.4743,,1.0000,
4,Rays,94,17381,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.0936,,0.8800,,0.0115,,0.1845,,1.0000,
4,Rays,94,17384,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3821,,0.7500,,-0.7260,,0.4063,,1.0000,
4,Rays,94,17395,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.7868,,0.3568,,0.1185,,0.9122,,1.0000,
4,Rays,94,17396,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2479,,0.8033,,-0.0412,,0.3156,,1.0000,
4,Rays,94,17397,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.6954,,0.5225,,-0.1004,,0.9015,,1.0000,
4,Rays,94,17398,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.6521,,0.5206,,-0.1399,,0.7578,,1.0000,
4,Rays,94,17399,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2368,,0.8200,,-1.0184,,0.2636,,1.0000,
4,Rays,94,17402,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3229,,0.8133,,-0.0626,,0.4539,,1.0000,
